TBLASTN 2.2.29+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: Cnidarians
           59,203 sequences; 3,418,506,885 total letters



Query= AAB47805.1 ankyrin [Homo sapiens]

Length=1856
                                                                      Score     E
  NW_018150375.1 Orbicella faveolata isolate FL unplaced genomic ...  80.1    7e-15
  SczhEnG_4195                                                        79.3    1e-14
  afen_scaffold_64                                                    79.3    2e-14
  adi_Scaffold195                                                     79.0    2e-14
  LJWW01000035.1 Exaiptasia pallida isolate CC7 scaffold35, whole...  78.6    2e-14
  dspp_scaffold_13                                                    78.6    3e-14
  NW_004167920.1 Hydra vulgaris strain 105 unplaced genomic scaff...  78.2    3e-14
  NW_018150389.1 Orbicella faveolata isolate FL unplaced genomic ...  78.2    3e-14
  SczhEnG_3955                                                        77.8    4e-14
  adi_Scaffold23                                                      77.4    6e-14
  NW_018150309.1 Orbicella faveolata isolate FL unplaced genomic ...  76.6    9e-14
  adi_Scaffold493                                                     75.1    3e-13
  scaffold_1                                                          74.3    5e-13
  scaffold_140                                                        73.9    8e-13
  scaffold_99                                                         73.2    1e-12
  afen_scaffold_362                                                   71.2    6e-12
  LJWW01000398.1 Exaiptasia pallida isolate CC7 scaffold399, whol...  70.9    8e-12
  LJWW01000030.1 Exaiptasia pallida isolate CC7 scaffold30, whole...  70.9    8e-12
  NW_018150231.1 Orbicella faveolata isolate FL unplaced genomic ...  70.5    9e-12
  SczhEnG_3341                                                        70.5    9e-12
  NW_004170168.1 Hydra vulgaris strain 105 unplaced genomic scaff...  69.3    2e-11
  dspp_scaffold_141                                                   67.8    6e-11
  scaffold_472                                                        65.9    2e-10
  dspp_scaffold_40                                                    65.9    2e-10
  NW_018150112.1 Orbicella faveolata isolate FL unplaced genomic ...  65.5    4e-10
  NW_004171282.1 Hydra vulgaris strain 105 unplaced genomic scaff...  64.7    5e-10
  afen_scaffold_48                                                    64.3    7e-10
  afen_scaffold_112                                                   64.3    8e-10
  afen_scaffold_10                                                    63.9    1e-09
  scaffold_55                                                         63.5    1e-09
  dspp_scaffold_20                                                    63.2    2e-09
  SczhEnG_141                                                         63.2    2e-09
  LJWW01000400.1 Exaiptasia pallida isolate CC7 scaffold401, whol...  63.2    2e-09
  dspp_scaffold_19                                                    62.8    2e-09
  SczhEnG_3001                                                        62.0    4e-09
  NW_004166947.1 Hydra vulgaris strain 105 unplaced genomic scaff...  61.6    5e-09
  adi_Scaffold74                                                      61.2    6e-09
  adi_Scaffold971                                                     61.2    8e-09
  NW_004171123.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.8    1e-08
  NW_004167642.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.5    1e-08
  NW_004167954.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.5    1e-08
  LJWW01000543.1 Exaiptasia pallida isolate CC7 scaffold544, whol...  60.5    1e-08
  scaffold_125                                                        60.1    2e-08
  NW_004167132.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.1    2e-08
  SczhEnG_235                                                         59.7    2e-08
  NW_018149716.1 Orbicella faveolata isolate FL unplaced genomic ...  59.3    3e-08
  scaffold_15                                                         58.2    7e-08
  scaffold_230                                                        57.4    1e-07
  SczhEnG_2487                                                        57.4    1e-07
  LJWW01000142.1 Exaiptasia pallida isolate CC7 scaffold142, whol...  56.2    3e-07
  NW_018148831.1 Orbicella faveolata isolate FL unplaced genomic ...  55.5    5e-07
  NW_018150212.1 Orbicella faveolata isolate FL unplaced genomic ...  54.7    1e-06
  LJWW01000559.1 Exaiptasia pallida isolate CC7 scaffold560, whol...  54.3    1e-06
  NW_018149231.1 Orbicella faveolata isolate FL unplaced genomic ...  53.1    3e-06
  adi_Scaffold912                                                     52.4    5e-06
  LJWW01000641.1 Exaiptasia pallida isolate CC7 scaffold642, whol...  52.0    8e-06
  LJWW01000022.1 Exaiptasia pallida isolate CC7 scaffold22, whole...  52.0    8e-06
  afen_scaffold_7                                                     49.3    6e-05
  dspp_scaffold_38                                                    47.0    3e-04
  NW_004168319.1 Hydra vulgaris strain 105 unplaced genomic scaff...  46.2    6e-04
  NW_004168418.1 Hydra vulgaris strain 105 unplaced genomic scaff...  43.1    0.008
  NW_004169836.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.4    0.013
  NW_004167055.1 Hydra vulgaris strain 105 unplaced genomic scaff...  41.6    0.023
  NW_018149431.1 Orbicella faveolata isolate FL unplaced genomic ...  39.7    0.090



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= AAD12248.1 caspase 9 short isoform [Homo sapiens]

Length=266
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  SczhEnG_3375                                                        85.5    3e-16
  LJWW01000313.1 Exaiptasia pallida isolate CC7 scaffold314, whol...  78.6    4e-14
  afen_scaffold_8                                                     75.9    3e-13
  dspp_scaffold_53                                                    75.5    4e-13
  dspp_scaffold_74                                                    75.5    4e-13
  scaffold_74                                                         74.7    8e-13
  NW_018150269.1 Orbicella faveolata isolate FL unplaced genomic ...  74.3    9e-13
  adi_Scaffold547                                                     73.9    1e-12
  LJWW01000354.1 Exaiptasia pallida isolate CC7 scaffold355, whol...  73.2    2e-12
  adi_Scaffold835                                                     70.1    2e-11
  NW_018150037.1 Orbicella faveolata isolate FL unplaced genomic ...  69.7    3e-11
  NW_004167941.1 Hydra vulgaris strain 105 unplaced genomic scaff...  68.6    7e-11
  SczhEnG_4281                                                        68.2    9e-11
  dspp_scaffold_90                                                    67.8    1e-10
  scaffold_360                                                        67.4    2e-10
  scaffold_57                                                         67.4    2e-10
  afen_scaffold_80                                                    67.4    2e-10
  adi_Scaffold1623                                                    66.2    3e-10
  scaffold_66                                                         65.1    8e-10
  adi_Scaffold4179                                                    65.1    8e-10
  NW_004169439.1 Hydra vulgaris strain 105 unplaced genomic scaff...  64.7    1e-09
  LJWW01000103.1 Exaiptasia pallida isolate CC7 scaffold103, whol...  63.9    2e-09
  NW_004168104.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.5    3e-09
  afen_scaffold_194                                                   63.5    3e-09
  NW_018149573.1 Orbicella faveolata isolate FL unplaced genomic ...  63.2    4e-09
  adi_Scaffold829                                                     63.2    4e-09
  SczhEnG_1812                                                        62.4    6e-09
  adi_Scaffold211                                                     62.4    6e-09
  NW_018149353.1 Orbicella faveolata isolate FL unplaced genomic ...  61.6    1e-08
  NW_004167362.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.5    3e-08
  NW_004174499.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.1    5e-08
  LJWW01000163.1 Exaiptasia pallida isolate CC7 scaffold163, whol...  59.7    5e-08
  adi_Scaffold4                                                       58.9    9e-08
  LJWW01000144.1 Exaiptasia pallida isolate CC7 scaffold144, whol...  58.9    1e-07
  scaffold_418                                                        56.6    5e-07
  adi_Scaffold258                                                     56.6    6e-07
  scaffold_384                                                        56.6    7e-07
  NW_018150072.1 Orbicella faveolata isolate FL unplaced genomic ...  55.1    2e-06
  NW_018149354.1 Orbicella faveolata isolate FL unplaced genomic ...  51.6    3e-05
  SczhEnG_4356                                                        51.6    3e-05
  SczhEnG_437                                                         51.2    3e-05
  adi_Scaffold446                                                     50.4    6e-05
  afen_scaffold_212                                                   50.4    6e-05
  LJWW01000146.1 Exaiptasia pallida isolate CC7 scaffold146, whol...  50.1    9e-05
  NW_018149716.1 Orbicella faveolata isolate FL unplaced genomic ...  49.7    1e-04
  NW_004168351.1 Hydra vulgaris strain 105 unplaced genomic scaff...  48.9    2e-04
  dspp_scaffold_85                                                    47.8    4e-04
  NW_004173172.1 Hydra vulgaris strain 105 unplaced genomic scaff...  47.8    5e-04
  NW_004170799.1 Hydra vulgaris strain 105 unplaced genomic scaff...  47.4    6e-04
  SczhEnG_3475                                                        47.4    7e-04
  scaffold_224                                                        47.0    8e-04
  LJWW01000108.1 Exaiptasia pallida isolate CC7 scaffold108, whol...  45.4    0.002
  NW_004167358.1 Hydra vulgaris strain 105 unplaced genomic scaff...  45.1    0.003
  dspp_scaffold_8                                                     43.5    0.010
  NW_004167851.1 Hydra vulgaris strain 105 unplaced genomic scaff...  43.5    0.012
  afen_scaffold_0                                                     42.7    0.019
  scaffold_98                                                         42.0    0.033
  SczhEnG_2416                                                        41.6    0.049
  NW_018150225.1 Orbicella faveolata isolate FL unplaced genomic ...  40.8    0.077
  NW_004167584.1 Hydra vulgaris strain 105 unplaced genomic scaff...  40.4    0.11 
  adi_Scaffold485                                                     40.0    0.14 
  adi_Scaffold1613                                                    38.5    0.41 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= NP_001743.1 catalase [Homo sapiens]

Length=527
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  afen_scaffold_782                                                     153   1e-36
  NW_018148848.1 Orbicella faveolata isolate FL unplaced genomic ...    151   5e-36
  afen_scaffold_647                                                     149   3e-35
  adi_Scaffold428                                                       148   3e-35
  SczhEnG_3206                                                          148   4e-35
  dspp_scaffold_91                                                      148   5e-35
  dspp_scaffold_533                                                     147   5e-35
  NW_018149891.1 Orbicella faveolata isolate FL unplaced genomic ...    146   1e-34
  LJWW01000160.1 Exaiptasia pallida isolate CC7 scaffold160, whol...    141   7e-33
  LJWW01000117.1 Exaiptasia pallida isolate CC7 scaffold117, whol...    141   7e-33
  NW_004171872.1 Hydra vulgaris strain 105 unplaced genomic scaff...    125   7e-28
  scaffold_68                                                           108   1e-22
  NW_004168213.1 Hydra vulgaris strain 105 unplaced genomic scaff...  84.0    1e-14
  dspp_scaffold_1984                                                  52.8    5e-05
  scaffold_18835                                                      39.3    0.48 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= AAA19567.1 cytochrome P450 [Homo sapiens]

Length=543
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  adi_Scaffold1194                                                      315   1e-90
  afen_scaffold_108                                                     311   1e-89
  dspp_scaffold_22                                                      310   4e-89
  SczhEnG_3492                                                          308   1e-88
  NW_018149561.1 Orbicella faveolata isolate FL unplaced genomic ...    291   1e-82
  SczhEnG_3644                                                          289   8e-82
  NW_018149300.1 Orbicella faveolata isolate FL unplaced genomic ...    285   2e-80
  dspp_scaffold_107                                                     283   1e-79
  afen_scaffold_284                                                     281   2e-79
  adi_Scaffold18                                                        279   2e-78
  SczhEnG_4179                                                          278   5e-78
  NW_018148751.1 Orbicella faveolata isolate FL unplaced genomic ...    278   5e-78
  dspp_scaffold_16                                                      270   2e-75
  SczhEnG_3669                                                          267   2e-74
  SczhEnG_579                                                           263   4e-73
  scaffold_186                                                          261   2e-72
  adi_Scaffold754                                                       155   3e-72
  adi_Scaffold37                                                        258   3e-71
  NW_018148670.1 Orbicella faveolata isolate FL unplaced genomic ...    256   8e-71
  SczhEnG_4055                                                          254   3e-70
  dspp_scaffold_53                                                      254   5e-70
  afen_scaffold_8                                                       253   1e-69
  LJWW01000011.1 Exaiptasia pallida isolate CC7 scaffold11, whole...    251   6e-69
  NW_018150072.1 Orbicella faveolata isolate FL unplaced genomic ...    251   6e-69
  NW_018149023.1 Orbicella faveolata isolate FL unplaced genomic ...    250   9e-69
  afen_scaffold_1                                                       249   2e-68
  scaffold_78                                                           248   8e-68
  adi_Scaffold1213                                                      248   9e-68
  dspp_scaffold_27                                                      247   1e-67
  NW_018150389.1 Orbicella faveolata isolate FL unplaced genomic ...    244   2e-66
  scaffold_4                                                            242   5e-66
  afen_scaffold_410                                                     211   9e-66
  dspp_scaffold_1958                                                    239   4e-65
  adi_Scaffold1381                                                      239   6e-65
  scaffold_469                                                          238   2e-64
  afen_scaffold_37                                                      238   2e-64
  SczhEnG_3955                                                          235   1e-63
  scaffold_74                                                           233   7e-63
  scaffold_20                                                           233   9e-63
  scaffold_2146                                                         231   2e-62
  afen_scaffold_64                                                      230   9e-62
  scaffold_6                                                            228   3e-61
  NW_018150231.1 Orbicella faveolata isolate FL unplaced genomic ...    227   6e-61
  LJWW01000072.1 Exaiptasia pallida isolate CC7 scaffold72, whole...    227   8e-61
  adi_Scaffold51                                                        227   8e-61
  LJWW01000082.1 Exaiptasia pallida isolate CC7 scaffold82, whole...    226   1e-60
  afen_scaffold_1934                                                    225   2e-60
  dspp_scaffold_141                                                     224   7e-60
  scaffold_88                                                           223   1e-59
  LJWW01000027.1 Exaiptasia pallida isolate CC7 scaffold27, whole...    222   3e-59
  LJWW01000008.1 Exaiptasia pallida isolate CC7 scaffold8, whole ...    222   3e-59
  scaffold_17                                                           221   8e-59
  LJWW01004312.1 Exaiptasia pallida isolate CC7 scaffold172, whol...    220   1e-58
  scaffold_21                                                           220   1e-58
  scaffold_37                                                           219   5e-58
  scaffold_142                                                          217   2e-57
  LJWW01000182.1 Exaiptasia pallida isolate CC7 scaffold183, whol...    215   8e-57
  SczhEnG_3613                                                          215   9e-57
  scaffold_592                                                          214   1e-56
  scaffold_1117                                                         214   2e-56
  LJWW01000655.1 Exaiptasia pallida isolate CC7 scaffold656, whol...    213   4e-56
  scaffold_465                                                          213   5e-56
  scaffold_9                                                            211   1e-55
  LJWW01000005.1 Exaiptasia pallida isolate CC7 scaffold5, whole ...    211   2e-55
  dspp_scaffold_208                                                     210   4e-55
  LJWW01000010.1 Exaiptasia pallida isolate CC7 scaffold10, whole...    208   2e-54
  SczhEnG_3994                                                          206   7e-54
  LJWW01000070.1 Exaiptasia pallida isolate CC7 scaffold70, whole...    205   1e-53
  LJWW01000534.1 Exaiptasia pallida isolate CC7 scaffold535, whol...    205   2e-53
  adi_Scaffold4                                                         202   1e-52
  LJWW01000133.1 Exaiptasia pallida isolate CC7 scaffold133, whol...    199   1e-51
  afen_scaffold_225                                                     197   9e-51
  NW_018149354.1 Orbicella faveolata isolate FL unplaced genomic ...    196   1e-50
  adi_Scaffold1751                                                      193   2e-49
  LJWW01000219.1 Exaiptasia pallida isolate CC7 scaffold220, whol...    184   1e-48
  LJWW01000105.1 Exaiptasia pallida isolate CC7 scaffold105, whol...    190   2e-48
  adi_Scaffold971                                                       186   5e-47
  dspp_scaffold_75                                                      184   1e-46
  scaffold_135                                                          179   6e-45
  SczhEnG_3292                                                          179   7e-45
  SczhEnG_4068                                                          178   1e-44
  afen_scaffold_314                                                     178   2e-44
  NW_018148565.1 Orbicella faveolata isolate FL unplaced genomic ...    176   4e-44
  SczhEnG_3150                                                          174   2e-43
  NW_018149341.1 Orbicella faveolata isolate FL unplaced genomic ...    174   2e-43
  SczhEnG_1035                                                          174   2e-43
  afen_scaffold_196                                                     170   6e-42
  SczhEnG_1874                                                          169   9e-42
  dspp_scaffold_306                                                     167   3e-41
  NW_018149857.1 Orbicella faveolata isolate FL unplaced genomic ...    166   1e-40
  NW_004169255.1 Hydra vulgaris strain 105 unplaced genomic scaff...    166   1e-40
  LJWW01001772.1 Exaiptasia pallida isolate CC7 scaffold1867, who...    164   3e-40
  adi_Scaffold927                                                       164   4e-40
  dspp_scaffold_74                                                      164   4e-40
  scaffold_213                                                          163   7e-40
  dspp_scaffold_5                                                       162   2e-39
  adi_Scaffold331                                                       161   3e-39
  NW_004168237.1 Hydra vulgaris strain 105 unplaced genomic scaff...    160   7e-39
  NW_004168227.1 Hydra vulgaris strain 105 unplaced genomic scaff...    160   1e-38
  NW_004172922.1 Hydra vulgaris strain 105 unplaced genomic scaff...    159   1e-38
  NW_004169590.1 Hydra vulgaris strain 105 unplaced genomic scaff...    159   2e-38
  NW_004167529.1 Hydra vulgaris strain 105 unplaced genomic scaff...    158   4e-38
  afen_scaffold_194                                                     158   4e-38
  NW_004174841.1 Hydra vulgaris strain 105 unplaced genomic scaff...    155   2e-37
  NW_004167571.1 Hydra vulgaris strain 105 unplaced genomic scaff...    155   2e-37
  NW_004167791.1 Hydra vulgaris strain 105 unplaced genomic scaff...    151   5e-36
  afen_scaffold_3330                                                    145   9e-36
  NW_018149891.1 Orbicella faveolata isolate FL unplaced genomic ...    147   8e-35
  scaffold_105                                                          146   2e-34
  LJWW01000012.1 Exaiptasia pallida isolate CC7 scaffold12, whole...    146   2e-34
  SczhEnG_3307                                                          144   1e-33
  NW_004170420.1 Hydra vulgaris strain 105 unplaced genomic scaff...    140   9e-33
  NW_018149129.1 Orbicella faveolata isolate FL unplaced genomic ...    140   1e-32
  dspp_scaffold_447                                                     140   2e-32
  NW_004167640.1 Hydra vulgaris strain 105 unplaced genomic scaff...    139   2e-32
  afen_scaffold_33                                                      134   1e-30
  scaffold_837                                                          126   3e-28
  LJWW01002106.1 Exaiptasia pallida isolate CC7 scaffold2280, who...    126   3e-28
  scaffold_92                                                           126   3e-28
  LJWW01000208.1 Exaiptasia pallida isolate CC7 scaffold209, whol...    126   4e-28
  NW_004169722.1 Hydra vulgaris strain 105 unplaced genomic scaff...    122   5e-27
  NW_004169942.1 Hydra vulgaris strain 105 unplaced genomic scaff...    116   6e-25
  scaffold_90                                                           113   4e-24
  LJWW01000294.1 Exaiptasia pallida isolate CC7 scaffold295, whol...    113   7e-24
  LJWW01000077.1 Exaiptasia pallida isolate CC7 scaffold77, whole...    111   2e-23
  scaffold_275                                                          111   2e-23
  afen_scaffold_7                                                       108   2e-22
  LJWW01001865.1 Exaiptasia pallida isolate CC7 scaffold1972, who...    105   2e-21
  afen_scaffold_575                                                   96.7    1e-18
  scaffold_49                                                         89.0    3e-16
  scaffold_55                                                         86.7    2e-15
  scaffold_9186                                                       83.2    1e-14
  scaffold_16                                                         81.6    7e-14
  scaffold_42                                                         78.2    8e-13
  NW_018149745.1 Orbicella faveolata isolate FL unplaced genomic ...  74.7    1e-11
  adi_Scaffold112                                                     73.2    3e-11
  LJWW01002753.1 Exaiptasia pallida isolate CC7 scaffold3194, who...  71.6    4e-11
  dspp_scaffold_172                                                   72.4    5e-11
  scaffold_312                                                        68.6    7e-10
  scaffold_3                                                          68.6    8e-10
  LJWW01000319.1 Exaiptasia pallida isolate CC7 scaffold320, whol...  68.2    9e-10
  scaffold_120                                                        67.8    1e-09
  NW_018148850.1 Orbicella faveolata isolate FL unplaced genomic ...  67.4    2e-09
  SczhEnG_4231                                                        67.4    2e-09
  dspp_scaffold_49                                                    66.6    3e-09
  NW_018149845.1 Orbicella faveolata isolate FL unplaced genomic ...  66.2    4e-09
  scaffold_8                                                          65.9    5e-09
  scaffold_89                                                         65.5    6e-09
  afen_scaffold_594                                                   64.3    1e-08
  LJWW01000044.1 Exaiptasia pallida isolate CC7 scaffold44, whole...  64.3    2e-08
  NW_004176634.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.9    2e-08
  NW_018149309.1 Orbicella faveolata isolate FL unplaced genomic ...  63.9    2e-08
  LJWW01000088.1 Exaiptasia pallida isolate CC7 scaffold88, whole...  63.5    2e-08
  afen_scaffold_52                                                    63.5    3e-08
  NW_018148822.1 Orbicella faveolata isolate FL unplaced genomic ...  62.8    5e-08
  dspp_scaffold_18                                                    62.4    6e-08
  scaffold_87                                                         62.4    7e-08
  afen_scaffold_49                                                    62.0    7e-08
  dspp_scaffold_135                                                   62.0    8e-08
  SczhEnG_2825                                                        62.0    9e-08
  afen_scaffold_88                                                    61.6    1e-07
  dspp_scaffold_61                                                    61.2    1e-07
  NW_018149419.1 Orbicella faveolata isolate FL unplaced genomic ...  61.2    1e-07
  scaffold_183                                                        61.2    2e-07
  adi_Scaffold1595                                                    60.8    2e-07
  adi_Scaffold1764                                                    60.5    2e-07
  adi_Scaffold89                                                      60.1    3e-07
  dspp_scaffold_2                                                     59.7    4e-07
  scaffold_35                                                         59.7    4e-07
  NW_018148848.1 Orbicella faveolata isolate FL unplaced genomic ...  59.7    4e-07
  dspp_scaffold_330                                                   59.7    5e-07
  LJWW01000138.1 Exaiptasia pallida isolate CC7 scaffold138, whol...  59.3    5e-07
  adi_Scaffold2877                                                    58.9    7e-07
  NW_018148536.1 Orbicella faveolata isolate FL unplaced genomic ...  58.5    8e-07
  scaffold_572                                                        58.2    1e-06
  adi_Scaffold614                                                     58.2    1e-06
  SczhEnG_1313                                                        58.2    1e-06
  dspp_scaffold_113                                                   57.8    2e-06
  LJWW01002040.1 Exaiptasia pallida isolate CC7 scaffold2186, who...  57.4    2e-06
  scaffold_556                                                        57.4    2e-06
  dspp_scaffold_62                                                    57.4    2e-06
  afen_scaffold_562                                                   57.4    2e-06
  LJWW01000297.1 Exaiptasia pallida isolate CC7 scaffold298, whol...  57.0    2e-06
  afen_scaffold_188                                                   56.6    3e-06
  afen_scaffold_31                                                    56.2    5e-06
  LJWW01000194.1 Exaiptasia pallida isolate CC7 scaffold195, whol...  56.2    5e-06
  afen_scaffold_174                                                   55.8    6e-06
  dspp_scaffold_12                                                    55.8    6e-06
  LJWW01000442.1 Exaiptasia pallida isolate CC7 scaffold443, whol...  55.5    8e-06
  NW_018149766.1 Orbicella faveolata isolate FL unplaced genomic ...  55.5    9e-06
  LJWW01000018.1 Exaiptasia pallida isolate CC7 scaffold18, whole...  55.5    9e-06
  afen_scaffold_82                                                    55.5    9e-06
  afen_scaffold_684                                                   55.1    1e-05
  afen_scaffold_118                                                   55.1    1e-05
  dspp_scaffold_44                                                    54.7    1e-05
  LJWW01000087.1 Exaiptasia pallida isolate CC7 scaffold87, whole...  53.9    2e-05
  SczhEnG_3433                                                        53.9    3e-05
  scaffold_31                                                         53.5    3e-05
  NW_004169300.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.5    4e-05
  scaffold_2512                                                       53.1    4e-05
  dspp_scaffold_159                                                   53.1    4e-05
  NW_004168034.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.8    5e-05
  NW_018150325.1 Orbicella faveolata isolate FL unplaced genomic ...  52.8    6e-05
  scaffold_334                                                        52.8    6e-05
  LJWW01000038.1 Exaiptasia pallida isolate CC7 scaffold38, whole...  52.4    6e-05
  NW_018149382.1 Orbicella faveolata isolate FL unplaced genomic ...  52.4    7e-05
  NW_004167705.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.0    8e-05
  NW_018149603.1 Orbicella faveolata isolate FL unplaced genomic ...  52.0    9e-05
  SczhEnG_3872                                                        52.0    9e-05
  afen_scaffold_5554                                                  50.8    1e-04
  dspp_scaffold_200                                                   52.0    1e-04
  scaffold_364                                                        52.0    1e-04
  SczhEnG_3206                                                        51.6    1e-04
  SczhEnG_1353                                                        50.8    2e-04
  afen_scaffold_34                                                    50.8    2e-04
  SczhEnG_684                                                         50.8    2e-04
  dspp_scaffold_33                                                    50.1    3e-04
  afen_scaffold_43                                                    50.1    4e-04
  NW_018149103.1 Orbicella faveolata isolate FL unplaced genomic ...  50.1    4e-04
  dspp_scaffold_76                                                    50.1    4e-04
  LJWW01000099.1 Exaiptasia pallida isolate CC7 scaffold99, whole...  49.7    4e-04
  NW_004171745.1 Hydra vulgaris strain 105 unplaced genomic scaff...  49.7    5e-04
  adi_Scaffold1240                                                    49.3    6e-04
  adi_Scaffold71                                                      49.3    7e-04
  scaffold_587                                                        48.5    0.001
  scaffold_62                                                         48.5    0.001
  afen_scaffold_235                                                   48.5    0.001
  scaffold_388                                                        48.5    0.001
  adi_Scaffold1358                                                    48.5    0.001
  afen_scaffold_304                                                   48.1    0.001
  dspp_scaffold_1                                                     48.1    0.002
  dspp_scaffold_368                                                   48.1    0.002
  SczhEnG_3966                                                        48.1    0.002
  LJWW01000268.1 Exaiptasia pallida isolate CC7 scaffold269, whol...  48.1    0.002
  LJWW01000412.1 Exaiptasia pallida isolate CC7 scaffold413, whol...  47.8    0.002
  scaffold_262                                                        47.8    0.002
  NW_018150086.1 Orbicella faveolata isolate FL unplaced genomic ...  47.0    0.003
  NW_004166943.1 Hydra vulgaris strain 105 unplaced genomic scaff...  47.0    0.004
  SczhEnG_3539                                                        47.0    0.004
  dspp_scaffold_77                                                    46.6    0.004
  NW_018148615.1 Orbicella faveolata isolate FL unplaced genomic ...  39.7    0.006
  NW_004167685.1 Hydra vulgaris strain 105 unplaced genomic scaff...  46.2    0.006
  NW_018149064.1 Orbicella faveolata isolate FL unplaced genomic ...  46.2    0.006
  scaffold_306                                                        45.8    0.008
  adi_Scaffold339                                                     45.1    0.012
  scaffold_28                                                         44.7    0.017
  scaffold_7188                                                       44.3    0.020
  adi_Scaffold363                                                     43.9    0.032
  LJWW01000315.1 Exaiptasia pallida isolate CC7 scaffold316, whol...  43.9    0.032
  LJWW01000190.1 Exaiptasia pallida isolate CC7 scaffold191, whol...  42.4    0.076
  dspp_scaffold_533                                                   42.4    0.081
  LJWW01000116.1 Exaiptasia pallida isolate CC7 scaffold116, whol...  42.4    0.099
  adi_Scaffold277                                                     41.6    0.13 
  LJWW01000032.1 Exaiptasia pallida isolate CC7 scaffold32, whole...  41.6    0.15 
  scaffold_272                                                        41.6    0.15 
  dspp_scaffold_1260                                                  40.8    0.26 
  scaffold_367                                                        40.0    0.49 
  NW_018150285.1 Orbicella faveolata isolate FL unplaced genomic ...  40.0    0.49 
  afen_scaffold_523                                                   39.7    0.62 
  LJWW01000117.1 Exaiptasia pallida isolate CC7 scaffold117, whol...  39.3    0.74 
  NW_018149189.1 Orbicella faveolata isolate FL unplaced genomic ...  39.3    0.78 
  SczhEnG_2356                                                        38.9    0.88 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= NP_001964.2 ETS domain-containing protein Elk-4 isoform a [Homo
sapiens]

Length=431
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  scaffold_92                                                           122   3e-27
  NW_018149670.1 Orbicella faveolata isolate FL unplaced genomic ...    120   9e-27
  SczhEnG_4231                                                          120   2e-26
  NW_004167020.1 Hydra vulgaris strain 105 unplaced genomic scaff...    119   2e-26
  adi_Scaffold47                                                        119   2e-26
  dspp_scaffold_49                                                      119   4e-26
  NW_004173010.1 Hydra vulgaris strain 105 unplaced genomic scaff...    118   4e-26
  afen_scaffold_42                                                      118   5e-26
  dspp_scaffold_204                                                     116   2e-25
  SczhEnG_4084                                                          116   2e-25
  adi_Scaffold21                                                        116   2e-25
  afen_scaffold_817                                                     116   3e-25
  NW_018148518.1 Orbicella faveolata isolate FL unplaced genomic ...    115   4e-25
  LJWW01000201.1 Exaiptasia pallida isolate CC7 scaffold202, whol...    115   5e-25
  scaffold_138                                                          114   1e-24
  LJWW01000003.1 Exaiptasia pallida isolate CC7 scaffold3, whole ...    114   1e-24
  SczhEnG_4082                                                          113   2e-24
  NW_018149711.1 Orbicella faveolata isolate FL unplaced genomic ...    112   4e-24
  SczhEnG_3155                                                          112   5e-24
  scaffold_47                                                           110   1e-23
  NW_018149908.1 Orbicella faveolata isolate FL unplaced genomic ...    109   3e-23
  afen_scaffold_31                                                      109   3e-23
  dspp_scaffold_263                                                     108   5e-23
  NW_004166871.1 Hydra vulgaris strain 105 unplaced genomic scaff...    107   2e-22
  NW_004167118.1 Hydra vulgaris strain 105 unplaced genomic scaff...    105   4e-22
  adi_Scaffold61                                                      94.7    2e-18
  SczhEnG_3539                                                        94.4    2e-18
  scaffold_30                                                         94.4    3e-18
  NW_018150297.1 Orbicella faveolata isolate FL unplaced genomic ...  94.0    3e-18
  scaffold_1643                                                       94.0    3e-18
  scaffold_39                                                         94.0    3e-18
